wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
5218,1895,12947,16532,3038,673,54
4187,5244,12154,48398,4797,2829,50
3984,3139,6495,25158,4889,327,1
1567,3368,5513,6819,145,4350,58
5276,4176,18096,10490,1762,3055,28
2089,1765,12580,57489,2419,2486,50
5709,1077,19180,28018,1780,447,19
5592,4297,18577,26513,6813,3581,43
2706,1335,6522,9945,8874,1387,57
4404,2406,3733,2916,1781,843,31
5322,5501,15261,17688,5271,4809,31
5200,3109,18248,5949,3880,4635,13
4340,3188,3237,41206,7424,2294,41
5913,4722,5982,49411,1087,1124,34
2097,1743,8059,51597,4510,2167,59
5317,2007,8569,40282,6049,1749,40
2842,3919,2103,5174,5128,462,45
1876,5908,3313,36134,7115,424,54
3273,4273,11370,14762,4145,596,50
2040,4085,8134,36742,211,1196,54
4798,1074,9810,50120,7030,3921,2
2519,4212,10623,11977,5592,4761,18
1245,3862,7898,835,6735,4849,10
1530,2954,17687,47283,4085,762,59
3795,5637,5434,8382,889,2136,53
5693,4998,18625,32058,8156,4597,7
5261,3092,9083,36237,9535,4174,31
5159,3783,10244,53990,2578,2231,58
5308,2895,19418,30871,7962,3655,22
2098,2981,11195,26196,6618,1214,41
2853,2218,14001,47564,7917,468,17
3690,2222,15753,34318,394,4917,41
5976,4443,16139,24255,7212,699,49
2020,3079,17326,17414,7110,3024,30
4039,1811,12006,15561,1867,3817,6
4936,5620,14255,45780,2147,3908,58
1286,1923,5966,41368,8942,150,53
1691,5224,18759,10286,5334,3004,43
2831,2097,15573,48748,5298,742,49
3537,1952,6733,12175,7571,1232,28
3425,2888,16606,30632,9907,1684,23
2346,5917,19902,56401,1232,1395,49
1307,3621,8766,58690,360,3224,23
3726,2796,1090,30571,1076,1861,20
1259,2225,9167,36675,889,2097,42
1571,1424,4992,15386,5485,2171,25
5496,3990,6945,36729,5197,1551,24
5602,1036,12551,17595,6919,2346,22
2339,1962,9132,40076,5626,1118,5
3631,5813,5389,11678,7554,2484,32
2920,5848,6694,42454,1281,2707,28
1968,5146,6688,38004,9406,1346,36
2369,4866,1526,51726,642,3855,42
1149,4161,3770,51330,5028,1283,14
4138,5832,2621,47534,4540,4072,39
4170,5455,4636,48718,5385,865,20
5137,1804,18974,46812,8849,3975,46
2341,5895,16519,30862,5250,4686,58
3991,4793,9149,4377,4076,3346,12
3118,1823,8183,32571,5999,3131,16
3859,1332,15973,18432,9827,4640,49
3679,4563,17891,15182,6040,3834,53
5121,5421,17506,12498,9433,1964,26
2659,1720,6675,8673,1034,2894,4
1494,2346,10956,14900,5284,4794,6
4683,2273,14053,878,9145,2569,9
4294,2585,6895,41348,9755,3020,41
2951,4081,19579,53039,3542,1663,44
5081,3106,17821,42840,5680,2876,51
2981,2836,3954,54947,3944,3482,47
1889,1568,4362,43610,7781,3896,33
1350,3647,11025,470,7826,1133,10
1005,1350,7736,10708,3375,615,34
1694,5693,10701,15556,557,1442,58
5722,5190,17378,22138,4816,2331,14
2433,1516,18288,16941,8141,1751,43
4178,5691,12239,610,8597,1921,20
2754,4520,1426,34281,9428,1665,35
5161,4327,9622,55620,1102,4890,44
5110,1488,2420,56329,7516,638,27
3907,4986,17681,14380,8010,3129,4
4636,3646,16405,14544,4907,3324,47
4424,4365,16466,35872,155,4998,16
5871,1889,14757,13235,6476,4089,38
2557,1280,15885,23586,2933,135,33
1827,1371,9550,15218,7340,3570,7
1485,4542,7745,26831,5674,4697,53
1645,4322,15374,52140,7430,3813,49
3433,2204,6240,3136,4592,1978,40
1109,5476,4995,20643,966,1379,22
1503,2660,17694,42535,1591,4884,49
4670,3637,5148,52977,6317,4928,36
3709,1153,8452,6348,7091,2266,37
3720,4812,5297,13153,7450,2286,31
1859,4155,18649,44669,3710,206,15
2193,4453,12900,52063,1822,3959,15
4329,4521,11226,55227,7449,2076,55
4795,4583,18846,10825,9634,4911,54
5283,5551,2383,19305,1563,673,8
4942,1051,8949,56668,2624,3721,53
2783,3159,8888,28962,127,4215,31
2104,3661,16326,40948,1307,902,14
3415,5478,15897,8136,7071,4441,38
1871,2647,6754,9572,8946,595,40
1115,2942,1731,25003,1924,2291,10
4670,3093,4618,49070,5817,2369,45
4013,2140,7308,29449,987,4925,7
1136,1587,10636,38405,1563,146,2
5391,2602,9487,28918,4031,3448,3
5649,2398,8633,1240,6823,2545,44
4518,3036,5827,51907,2434,4245,5
5819,4094,17551,33432,4825,4242,7
4762,5948,13693,7511,1337,881,37
4304,3922,12130,4664,4399,2119,13
2862,2891,3089,9224,7861,880,27
4667,3466,9035,15437,8407,1829,7
4537,2212,17889,53619,5317,3105,39
2456,2879,17422,27627,6002,2853,17
5710,3632,3579,1540,3007,3020,8
4120,5249,12889,41558,7744,3325,60
1794,3446,5205,39276,8489,2710,49
1004,1716,16990,37260,3970,1961,15
1014,5040,17362,40758,4089,1943,30
3096,3773,13650,24190,6392,413,22
2702,1942,13432,41624,4467,4979,25
3855,5595,12891,54470,5736,3516,45
4110,3844,4276,42320,2881,3070,55
3174,1011,10260,29106,1204,2803,9
3966,5686,8268,1434,985,3895,53
2201,2936,6178,41844,5964,3916,56
1854,2749,19005,22868,5054,2271,30
1969,3726,11272,23238,594,2686,25
3320,3824,7563,48537,2547,4608,18
3975,4063,3374,17512,8215,270,25
1014,2135,5184,13496,2965,139,32
4767,4060,3189,58799,9938,1296,4
3650,3528,12807,58499,6043,4245,39
2027,4125,1179,30610,3544,2827,54
5053,4088,3406,342,8811,4671,60
2533,1403,3279,59737,3377,3334,13
1253,4372,7933,9612,9253,936,25
5688,2805,12936,57721,9669,607,7
5873,3159,16183,32864,3632,183,8
3556,4322,11010,53358,4406,4265,17
1289,1219,19987,28598,6884,775,21
1737,4958,11759,47877,3081,3349,13
3189,2339,13884,27223,4278,1856,42
1173,5459,14700,50954,9854,2017,45
1613,4832,14698,6112,7024,1822,41
5284,3264,1900,37519,499,2890,60
5144,2771,13015,1560,8633,4995,28
3382,4673,6870,1697,874,1418,58
1758,2396,19198,5852,4395,3070,26
1271,3870,9803,41214,6743,744,34
4036,4225,11494,9904,6662,1981,11
4041,2280,2225,28115,5577,2331,55
3375,2152,2718,30270,537,4200,30
3172,1505,16979,9386,9670,2763,53
4197,4617,2068,28079,812,1141,54
4144,1438,8055,36351,9348,3675,34
1635,5607,9863,38645,5673,900,45
3091,1008,8316,36136,6946,3678,19
3126,5594,14787,57253,5146,777,45
2547,5614,19304,49957,8868,3414,30
3057,1414,10020,58467,7572,2861,44
5180,2582,15954,47343,4470,566,53
3509,2813,8100,8010,385,4304,17
3501,1299,12141,3135,6303,4761,5
5826,5802,1904,49170,5564,963,39
3290,4703,19644,7345,2560,4082,29
5144,1638,4271,55808,6742,4499,56
3897,4807,8859,37567,8862,3072,3
3491,2267,16004,16732,6232,195,24
2501,1141,3134,29409,5597,3697,27
