wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
4931,5893,6794,43264,7590,4992,13
1796,5258,6065,19617,6331,2193,8
3879,1199,9349,19619,5698,101,55
2730,1053,8739,13380,6138,1199,41
2960,5473,3500,40878,2489,4122,23
1896,5114,4448,42296,3403,3718,9
4699,3232,13079,27305,9032,3395,20
3026,4166,1188,41100,7889,3262,43
2173,5178,10212,6654,4794,4500,12
4980,4793,11651,17230,5576,3879,15
2220,5801,4431,46859,8705,1643,30
3005,3517,12393,39555,724,2075,6
1472,5898,11206,46441,3024,1206,59
4178,5396,8624,47938,5831,1656,36
5485,5563,9803,26860,4743,3098,25
2323,4361,17453,22507,563,248,17
1544,3286,14759,30269,9954,1642,50
4150,1228,15592,28709,6372,4935,3
4943,5687,11088,40564,6655,344,28
3241,1775,14105,53642,3017,4362,49
2827,1783,12512,33504,1695,4419,21
3654,2834,6419,57826,6856,2612,25
3460,4385,12314,23566,443,496,45
1340,1783,8412,46944,9612,1917,3
2078,3694,12151,18119,7066,4470,15
2962,1965,12092,34672,3687,2821,45
3418,2980,9041,36839,7181,2370,39
2680,3382,2797,31423,6749,2521,59
3046,5148,7972,37709,3067,1267,21
2376,3625,3944,23265,1631,4980,28
5601,3133,19431,49942,1243,2190,7
2772,3662,10333,54504,4374,3931,30
4726,5106,10652,40248,8215,3821,40
3056,1327,13561,20368,1445,3280,47
4454,3503,1418,33383,6713,3925,46
1685,1075,9242,57250,1456,2276,47
3115,3344,7330,34985,2761,4869,22
5769,5258,10156,10983,2135,4719,11
2621,1665,16770,14899,5228,146,36
4751,3135,9341,35641,278,4828,32
4875,3739,14653,43879,5022,330,55
5070,5998,18374,19772,9453,2540,30
3819,1740,2307,35686,3810,2997,12
1872,2215,9764,5585,9021,4262,14
3163,2282,11766,53966,5877,1156,15
1033,5843,16430,19176,6345,2009,18
2864,5033,10894,53898,2568,2519,23
3933,4747,7289,23039,9827,1751,35
5919,4573,2545,8899,7056,376,16
4087,5456,18183,11831,5245,2196,7
1006,4290,4292,46854,3853,959,60
3553,5320,11087,9454,1828,4242,23
1640,1376,17653,54273,5737,2960,56
4572,1630,16386,53179,4765,1240,26
4782,1044,12427,1096,6296,1927,46
2936,5797,13188,10294,9709,3396,10
3079,1291,11519,15659,1389,2771,25
1886,4100,14579,46557,3734,852,33
1798,4675,12622,18197,6632,2195,6
5806,5191,11806,17157,9373,694,40
4926,3098,3089,24864,4155,1908,28
5981,3034,4323,54282,3209,4209,36
5363,5017,12103,268,8880,3314,25
1436,4718,19982,25106,4692,2582,18
4768,1058,8272,2203,3416,1764,33
1420,3395,7233,52991,2955,442,43
1567,2105,3930,13487,2360,2749,12
1024,5575,14378,23240,1073,2603,41
2957,1306,7059,8360,2948,2875,44
1310,1527,16773,32755,588,4949,56
4621,3086,18019,22786,7726,4213,14
5028,4956,3082,34119,5036,2010,55
5630,3521,17152,53357,6514,4881,4
5750,5822,10907,24991,9990,2754,51
4812,5594,7446,59545,2711,482,14
4403,4663,15653,1185,9280,3768,17
1849,5103,11087,55112,6132,4146,41
2593,2793,5702,20643,8747,2151,58
1725,2520,16968,22401,2481,4428,21
4509,1569,16891,37596,1452,4005,39
5969,2565,8749,4948,9990,2836,23
3079,4614,10425,26265,3209,4614,25
