wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
3026,5808,8733,42549,5132,2776,35
1218,5736,11837,30377,3447,465,32
1073,4132,10306,58920,5245,367,20
4180,3235,14206,49685,9333,2285,44
4661,4987,19749,7701,1423,284,1
4591,3849,3962,10034,8736,4380,17
3868,1042,15549,50772,620,3118,34
1663,2589,6495,6071,6133,4575,18
3021,1872,15534,37376,646,454,50
3568,5902,18307,1693,5698,1961,10
4215,2678,12686,38600,8419,4389,51
1187,3136,4437,24148,1010,4258,25
3292,3508,2673,30034,6460,2487,37
5689,1762,8175,22342,6756,2828,39
1345,5409,10168,55394,880,191,59
3566,1608,1597,47794,411,1535,42
1965,5347,9493,3701,4832,3962,45
2713,4980,19346,19715,690,3634,1
5716,4605,18292,26510,6284,3614,45
2069,1234,6298,23205,7555,1481,40
2664,2572,10109,57065,4445,3228,41
3492,5083,2258,51454,4319,3063,57
1383,1806,2598,46747,4348,4812,43
3159,1898,12041,13746,5709,1057,23
1550,2066,9137,34769,6958,4377,60
4069,2164,9260,40879,3716,1804,41
4921,1165,8783,1687,612,1048,33
2330,1637,16408,31922,9063,2767,30
5133,3987,8662,47795,1545,4734,57
2586,2765,17794,1434,2511,4589,38
5182,4995,1759,26323,3264,2721,26
3375,2136,14908,770,3607,4974,40
5160,4606,15083,19470,3808,440,1
5122,4012,17681,7204,7575,2775,15
1150,5071,8607,26549,9543,2947,48
2501,4959,7170,42902,734,2756,32
1866,3710,19720,36699,8625,1037,25
1984,1375,2577,3642,3909,2276,47
5282,2371,13099,30470,4404,2160,14
3432,5794,2398,8738,9595,3440,2
2157,1301,16370,4461,799,1990,28
2682,2096,6086,14306,3889,1472,10
4319,2601,6571,3912,6453,2068,36
5094,3957,7239,53889,6120,900,9
1641,3091,11101,36482,1603,1357,5
3846,4993,5213,39095,3207,4683,59
5114,2582,12913,9134,505,4895,27
2157,1433,16559,16466,5544,232,50
2024,4970,4722,54391,7543,3332,22
4927,1533,11152,28978,6319,4856,20
1912,5156,15216,45830,5623,590,56
5264,3681,13317,43091,6431,1324,12
1078,5062,10631,47440,3935,3919,18
5715,3361,13140,23607,7629,4440,35
3871,5218,6130,53712,1225,1970,35
3166,2871,9323,549,4085,4014,53
1365,2557,11637,59210,7264,3414,2
3867,3820,8754,7401,509,4945,46
3257,1838,12306,45884,5709,2861,20
3989,3630,1769,10529,7063,4467,32
5519,2388,4158,36471,6071,393,45
4517,1903,11986,24647,3561,1800,26
5117,2315,7293,53274,7457,3076,31
5778,1333,7395,18490,5813,1842,58
2072,2625,5689,5252,3346,271,58
