wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
1172,1574,17325,10804,412,3925,57
4105,3657,6295,23726,5538,440,11
4739,4767,10494,32807,8047,3814,44
2384,4733,2110,6936,7768,3648,47
1272,1984,8796,17285,3319,3732,13
3774,3198,18635,49137,814,1172,2
2217,5889,11396,32945,9000,2337,7
2305,1326,5336,54732,964,3928,15
1106,5550,11821,51552,5711,3106,21
1375,2999,11823,21088,3877,3596,51
2100,1325,10105,40102,9526,1696,38
1976,5623,13915,7891,935,576,17
2584,5729,13793,47061,516,3419,35
3696,1219,10792,31808,6136,789,6
2954,2672,1416,19142,7297,4352,5
5759,2423,12740,39742,7709,4846,60
2872,1576,2947,39046,5187,1624,35
5845,5288,1195,50323,4262,2021,38
3052,4683,3319,9908,6627,1858,1
3584,2392,15408,28004,8866,2123,6
2587,4384,12305,36286,3608,2545,25
2880,2142,9254,51014,4817,995,3
5397,2712,12119,16001,2596,150,36
1169,1613,7377,37603,4099,2051,16
5255,2138,7362,15916,6404,3230,23
1404,5941,15407,7790,1798,1555,56
4412,3020,5825,30456,8429,1313,33
1346,4994,11422,42229,1318,2262,50
3254,5515,18348,46509,3985,1321,39
4762,1951,14092,42259,7757,4660,29
3349,2614,12777,8957,9432,4128,9
2228,3210,2365,38687,7645,1569,46
1469,5323,3902,2503,2730,1847,60
1790,2101,4346,52578,343,3968,29
3089,3110,9480,12749,5660,2329,3
2200,2421,4671,41291,8064,173,41
5286,3384,12316,41054,5273,1412,37
2174,1393,16670,33040,1534,1810,11
4809,3106,18313,16295,2468,268,42
4305,4644,16516,2859,4778,4243,14
3295,5290,17396,37646,427,4454,58
1111,5364,9403,34519,648,2667,26
3880,3979,7063,57376,501,4014,41
3188,5311,11391,28363,4230,4995,59
1681,1200,5855,54612,1249,3504,59
4017,3553,3124,58462,4300,4944,49
1311,1519,1342,44082,9251,2073,19
3732,4891,14796,37945,7510,621,14
5722,4126,8744,13616,4698,2664,41
5201,5706,16088,34840,5958,1727,53
4849,5515,6761,14361,4564,3648,56
3570,1335,10766,57593,4658,4301,22
1889,3122,9275,42517,1783,559,28
5524,1146,14738,51639,5902,448,42
5341,5582,15649,49712,3805,4040,48
3331,2986,2243,25916,9755,3865,40
2510,3101,5983,5391,5379,977,11
3528,3661,16046,54666,4677,3287,30
4728,1488,1471,21344,1731,437,50
1541,4769,13677,59304,2488,3445,57
5744,4413,9634,57969,5470,2365,25
2635,3263,12160,19560,2061,2181,37
4939,2772,13240,26327,3601,2435,60
5384,5827,2095,36862,5873,4795,34
5649,1896,14426,25667,8157,618,23
1685,4285,15277,57467,6989,2908,19
2364,1658,12605,12816,6640,3868,26
3138,5465,12337,43752,6739,2179,2
3226,2864,1033,19749,5036,2309,54
5152,4095,12004,17527,3331,4690,30
2087,4653,12992,776,9295,4159,6
3878,3181,15182,33945,1332,2591,55
5476,5995,10947,35511,7288,3410,6
3735,5420,12909,54124,8498,971,17
1162,2249,15968,48968,616,4573,4
3205,1189,11842,3451,4738,4486,15
2509,4438,2804,12990,9357,2675,26
2231,5498,12455,13170,9160,284,33
4357,2338,6583,55220,7718,3856,13
4321,3379,2048,17479,6305,3263,12
3762,1772,2527,4304,1761,1168,17
2091,1566,12384,26851,1465,4720,42
3423,1868,6844,56239,4618,3957,5
4871,3230,9223,6804,2337,1268,30
1250,4906,12035,19795,4047,1975,13
3190,5497,3016,18889,4414,1290,52
1452,5747,13555,46971,4925,2778,40
5518,1624,5391,16256,7301,1625,58
1419,5681,1442,6914,497,4679,43
1834,3210,17731,22632,5085,2321,53
4373,5443,2282,29449,8570,1952,16
1996,5246,15451,16974,5300,4723,2
1848,2054,16655,48758,6931,1574,25
2491,1346,17036,39917,3367,3744,5
1159,4253,3427,44158,9402,4250,11
4743,5710,10087,38754,3640,1402,35
2744,4304,12946,54765,9079,4149,48
2799,5659,5647,14877,930,3595,41
1548,2003,10656,19480,976,1802,21
5202,2187,15483,28368,5887,4544,23
3549,5355,8539,14574,9537,4961,53
2766,2694,18359,50454,5638,1090,43
2527,1557,5673,3397,8465,1469,37
1179,2596,19536,26792,7667,1499,56
5377,1240,7044,43065,1454,4189,41
1262,3014,9552,39270,3192,558,8
5960,5539,7170,52175,6398,3226,9
3681,5523,6913,43027,8667,4103,26
4295,3182,9146,752,6373,1051,10
2855,5807,18452,45169,6507,387,35
1209,3219,13595,22186,3280,4773,11
5932,1387,6187,35049,4240,1972,50
5802,1988,9953,17258,6004,4190,45
3295,1909,4459,8403,9073,4679,49
1457,5861,17431,5767,8410,949,13
5624,4046,1025,453,7027,3733,20
1582,2259,14360,42636,1847,590,30
2596,5425,3895,21389,1758,970,1
5852,2787,10450,35877,2682,3150,48
2488,3400,14363,17145,5252,940,31
4222,5030,4234,9439,4901,4298,21
2567,5988,9933,49297,3891,119,37
1821,5512,19139,16807,9349,3387,13
5908,2228,3927,59108,4188,3968,34
2995,3609,14826,27410,2064,376,25
2416,3762,11523,55211,3841,2952,53
5351,4209,5136,3894,4827,3635,31
5446,4588,18253,40014,6950,2301,14
2366,3333,12530,8468,2649,3099,35
4839,4293,9630,10851,7582,888,45
2160,2834,15198,56530,5931,3622,20
3160,4697,17277,18164,9232,1401,16
2719,2798,13421,25580,6831,1340,28
4023,4074,14723,2396,9390,1342,11
5925,5346,6997,2858,3506,1182,53
4552,3957,15173,22447,5043,3311,20
3235,1440,12918,27251,6821,1881,28
5089,4046,8897,38419,1854,2334,18
3660,1125,4188,17002,9511,2449,12
1006,3199,12328,48433,9308,4164,51
1210,3713,3793,30600,1683,3680,13
4831,5924,12604,16185,7716,1490,24
4858,2450,14384,32767,6696,3962,60
5328,2990,4133,49074,8516,3268,60
3829,4078,7072,57787,1659,1968,50
2384,2064,19810,24627,583,3009,39
1316,5506,18999,42000,5282,3786,17
3621,4150,17300,31864,6289,3415,39
2427,5154,14814,46331,6846,1015,26
2545,3827,13508,57343,9586,4544,42
5300,4583,13326,5214,2806,648,32
3792,1652,13903,977,5083,1625,4
4883,3487,13983,16708,3408,2833,15
4235,5936,7570,57733,5034,4284,57
4394,2970,17707,13547,3369,1808,35
5630,1710,3280,43388,2236,909,20
3736,3277,16737,28734,2491,3607,34
2621,3191,3007,6995,6069,1165,5
4983,1372,2462,5661,3373,3175,18
2236,2530,5144,30007,4128,2278,24
4935,1684,15359,2082,1400,816,10
4387,2309,9956,10654,8153,1125,45
3706,2208,12359,46264,6778,2404,19
1196,5529,10762,3517,4267,2333,33
3298,1122,4627,30661,217,4210,28
3917,5461,5803,20322,8472,306,51
4996,5426,7068,18537,4054,469,17
5617,4685,14612,38298,2639,1634,3
1001,3557,10811,48177,2709,1501,19
1157,4305,1999,50282,5359,1466,58
2463,2662,19911,57098,4805,617,16
1543,1671,19217,44585,9601,3532,54
1069,2400,11081,43244,2867,456,55
3927,3759,2807,34063,3270,736,8
2591,1908,13857,36469,5051,148,31
4366,2022,9328,26761,4895,2622,9
1864,4947,8754,18986,4959,1703,24
3317,4460,19369,33398,4067,2731,16
4466,5248,8570,58018,5284,4917,13
5556,5189,11246,4109,4266,2245,9
5532,4164,11892,31508,9086,1584,11
3994,3086,5814,55428,5550,4039,18
5171,5596,3939,22212,4273,723,23
5736,3661,18312,3155,6460,3100,34
1248,2563,15992,36136,7772,250,48
