wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
2882,2230,16868,11036,4202,1357,18
1422,2150,4178,14647,3963,3578,4
5566,2113,16679,1187,2987,3057,19
5043,5517,2726,3120,4418,2572,51
1446,5052,17081,37075,9602,3445,57
1033,5074,1904,59490,2182,2374,57
3214,1646,14815,55273,9220,4116,59
5148,5677,4570,38880,9439,1583,30
2432,4593,8900,40284,8419,4350,32
5210,5704,17484,4309,2694,2134,16
4768,1956,5145,39819,6023,949,51
2379,1106,15491,50527,2049,2287,28
5406,1643,3081,40533,1849,4005,12
2049,1441,11092,36374,9717,4969,22
1586,1130,3558,46568,1185,3094,21
2596,3422,4217,53199,3951,3739,57
2050,4749,16014,23031,5982,1329,27
4327,4172,11346,53042,4237,3607,36
1625,3669,4435,55263,5668,3482,54
5031,2201,7294,14085,3192,1529,59
1530,3813,12096,31579,9615,2696,48
5668,3484,15890,37881,7317,3859,13
2527,2509,12276,14547,4580,1039,18
5160,3377,1111,57615,9644,2794,41
1826,2442,13010,17319,2732,2555,49
1560,3937,2023,39760,9995,3376,54
5763,2772,14401,22266,635,336,43
3609,5177,12123,20515,233,4506,1
1163,2579,1568,55442,623,3795,43
1788,2523,1331,52996,3182,3123,49
4431,1023,19305,47080,8161,1352,35
1132,1643,2120,58689,3059,2709,52
2691,4436,9003,44361,2968,3236,48
1834,5958,17346,36669,7607,203,54
5773,3982,12831,56775,5759,4160,11
3996,4561,1357,33936,7964,4382,40
1363,5957,11914,27418,9343,2390,34
2807,3701,12533,45602,5978,449,41
1182,4748,10315,7667,1395,2681,49
3687,1310,4003,11117,7603,2283,55
4933,3905,1467,13018,4855,3620,39
1243,5924,2881,18732,2030,1373,22
2260,4928,14513,20670,6014,1550,50
4882,3357,10065,17969,8368,2819,31
3612,1580,11135,1276,3415,2539,47
1926,2483,2598,19068,3115,2414,17
3219,4502,15165,36138,7383,2281,19
2546,1178,3329,21897,8927,4754,36
2701,3053,19455,28886,2352,375,50
3149,2429,3634,48268,6858,2279,52
5008,1913,9673,56167,6433,1016,38
4265,5207,9792,15753,9499,165,45
4300,5010,18213,48957,6924,4301,46
1001,4563,2629,41448,9895,3573,8
2300,5614,19563,5630,2023,139,22
1982,4373,4253,27912,6185,856,3
2940,3212,6326,58530,2366,1813,9
4295,1615,16383,30528,9669,315,17
2940,2661,2883,34011,8318,4634,7
1525,4630,10529,44839,667,4940,54
4157,2556,5997,43256,9832,2197,37
2880,2402,5722,53310,5051,789,34
1085,1106,7116,36507,7374,2497,25
3707,3710,7107,3086,7277,1571,48
1259,1779,5974,40248,1691,3556,39
5505,4083,18815,9417,2945,1734,50
4647,4405,7173,58245,1940,1232,24
3279,5421,3578,50929,1037,2465,15
3627,3460,7807,9870,8629,2138,8
2089,3916,5470,56757,5104,1044,19
4890,1338,15125,56094,2748,3282,59
5627,5874,19549,49600,622,2768,19
5540,2354,19643,11536,5008,2659,3
1929,1891,11020,41101,5752,1712,12
3059,2302,2090,25770,3819,1117,55
2276,1016,12338,16535,9785,2764,1
3907,5181,18798,36442,7125,651,16
2057,2727,16859,49482,5233,1757,6
4780,4981,13581,58676,2354,577,46
5145,3648,12177,21917,7820,409,30
1673,2014,19039,31602,4960,4794,40
3841,4170,12635,26867,9580,2920,34
1457,4539,14767,33272,6762,4704,18
2019,4696,6851,18173,7358,4523,60
3393,4753,3210,44644,5461,4178,4
3970,2060,1830,16683,689,2151,29
4540,3943,18110,47455,2641,4653,32
1583,2547,2020,8435,7740,4235,29
2799,2766,5220,5161,8770,944,39
3667,5817,3354,43832,4465,1750,8
3485,3202,13578,5022,7697,4909,51
4260,3504,13229,27174,4070,2058,19
4326,2226,8453,28089,6336,2723,46
5850,4387,2158,50502,6500,316,15
3906,4201,15965,11258,1005,708,16
2403,1911,5187,23379,5956,2287,15
4105,1287,8420,31088,6470,613,36
3674,4524,4151,4041,8601,3906,45
4613,1559,11536,20199,587,425,32
3298,5855,6839,57670,6903,3063,14
1721,2042,19635,8772,3816,1075,39
2821,4075,15668,7241,7529,4410,4
2632,1759,4098,26954,3365,663,21
5468,3765,14394,37168,3055,856,3
1273,4763,19649,26065,3000,3609,13
4140,1968,4020,20187,968,165,56
2259,2425,4959,16432,2393,3820,49
4555,5524,10571,24068,4177,2746,46
1291,2062,11699,36707,3218,2899,24
1118,5760,1542,4787,7876,1028,59
3525,1732,5758,56890,8485,622,3
2555,4226,11875,15108,2247,4518,51
1589,5677,13357,58993,9342,1074,35
5503,4799,11145,46389,1036,1999,24
1894,1727,3297,32577,5877,3245,27
5641,1895,8848,12123,7853,4894,55
2350,1710,19046,9114,9700,3705,36
2162,1749,10384,22348,3739,3178,37
3888,2286,18275,56665,2313,3997,39
4443,4112,4941,29706,8627,2819,2
5572,2319,12800,49849,8064,2869,12
2304,5136,15795,12777,7300,1645,19
5715,3315,16902,38128,4660,1937,45
5990,3712,10763,8693,1993,3323,18
3790,5111,9228,11347,186,1713,8
1939,1119,19334,28908,5322,4334,45
5524,5500,17753,40890,4314,1721,31
5793,2282,3974,43233,8567,1490,3
4900,1757,10850,40646,7754,2367,53
5719,4044,10574,14631,7136,3353,25
5335,5911,2595,11952,346,3086,3
1556,1365,3069,30435,9168,591,4
3890,4833,2583,15547,135,3603,21
1777,4731,7843,27512,3181,1683,32
3872,2021,1661,48748,7651,1463,1
2017,2390,12953,47496,9548,365,45
2507,1036,5093,44160,1602,2570,3
4870,4797,2665,39171,7449,1077,30
3118,5764,8075,56180,1793,4676,9
1436,4780,16939,13516,7783,1744,12
5970,1782,11043,31212,2954,3211,31
3760,5557,15904,31900,6358,4706,27
5454,2226,11755,3622,2391,1542,30
5863,2089,17448,55384,9017,4829,20
5087,1395,19087,10334,2689,4902,54
1789,4993,12167,20790,1915,941,50
5457,4229,2774,47223,6941,1631,11
4447,2012,18775,16698,5580,4329,49
1246,2883,10353,7619,4402,698,20
1011,1795,14684,43729,4221,2568,9
5317,4258,19706,30687,205,695,34
5457,3433,13877,8267,4123,796,51
4776,5373,15152,38875,6557,4560,45
1961,2797,16532,11875,7326,2864,6
3633,4506,2689,48874,4406,4537,4
5087,3236,1641,8109,147,4553,38
2745,3323,15996,8297,9730,1186,57
5230,3789,14701,32941,4265,3925,24
2027,1205,6297,14275,3047,1800,38
1893,4346,1100,48041,9899,3378,50
1838,4009,16875,18520,2857,4394,24
5493,4141,2525,5317,1899,1007,5
4005,3793,18329,45453,6008,2088,32
3986,3768,10312,28212,4452,1557,44
2218,3615,10062,22045,4540,3207,28
3527,1477,14073,34809,3379,2355,10
3399,3870,4998,2643,5239,2139,54
1915,3171,1892,39578,1266,2806,2
3111,5762,1192,28056,7502,2244,50
3953,2515,6323,25894,9343,1142,32
5385,1599,10693,4416,7227,2121,60
3208,3381,6305,22542,311,4185,1
3949,4786,3261,43641,2367,505,22
4456,1686,11017,29834,6567,713,2
1540,4989,3973,10570,5214,3502,29
5543,3894,7819,13088,5690,3888,34
4572,4451,9342,39583,1136,1828,1
4951,5045,2650,2123,4328,3675,42
3411,4003,2424,50565,2122,3935,10
1527,1155,19102,8432,9962,2885,57
2182,3632,2491,45364,2741,1004,21
2423,5391,15997,45120,8536,1190,17
3552,5998,15916,1585,8410,2592,42
2209,3452,4434,36318,9620,3754,50
2022,5810,15389,48539,8508,4889,17
2546,4064,9768,17336,2649,210,9
4115,2133,2273,10971,5645,4465,4
2116,1686,9062,21955,1112,2766,18
1260,3707,8884,21697,518,3446,13
3867,5048,19715,41636,1650,4452,60
2114,3806,9944,6309,9118,1369,28
3790,3804,15965,59973,5349,2878,31
5458,4569,7155,8139,6971,2947,25
2309,4137,13247,44937,4563,1669,25
3952,1820,17394,10941,8627,4460,22
3419,4968,8201,347,4156,265,9
5749,5434,17526,49584,7949,2784,38
3503,1313,16643,28632,9168,3491,38
5159,3454,16240,15809,7026,3608,42
3702,1192,6127,13178,8556,1595,29
1321,2618,10607,26462,9239,4410,27
5201,4008,12637,1972,1581,568,28
1566,1742,3057,34103,4115,379,10
1122,5320,17385,54352,3496,293,16
